Company,Q1 Op Income Growth,Q2 Op Income Growth,Q3 Op Income Growth,Q1 EPS Growth,Q2 EPS Growth,Q3 EPS Growth,Q1 Rev Growth,Q2 Rev Growth,Q3 Rev Growth,Q1 Date,Q2 Date,Q3 Date
MU,440000000,886000000,1157000000,0.35746,0.71125,0.87356,4797000000,5438000000,6056000000,2020-02-27,2020-05-28,2020-09-03
CTSH,626000000,579000000,467000000,0.71688,0.67216,0.66728,4284000000,4225000000,4000000000,2019-12-31,2020-03-31,2020-06-30
PCAR,714900000,491400000,202400000,1.53024,1.03484,0.42589,6117200000,5161700000,3062200000,2019-12-31,2020-03-31,2020-06-30
PYPL,799000000,398000000,951000000,0.42677,0.07089,1.29223,4961000000,4618000000,5261000000,2019-12-31,2020-03-31,2020-06-30
INCY,95008000,-664004000,230773000,0.50815,-3.32521,1.31694,579389000,568507000,688043000,2019-12-31,2020-03-31,2020-06-30
JD,4973207000,529547000,2320449000,0.20606,1.21934,0.36,134842785000,170684038000,146205209000,2019-09-30,2019-12-31,2020-03-31
WBA,1233000000,-1655000000,650000000,1.06945,-1.95111,0.43,35820000000,34631000000,34746000000,2020-02-29,2020-05-31,2020-08-31
COST,1266000000,1179000000,1929000000,2.09814,1.888,3.12597,39072000000,37266000000,53383000000,2020-02-16,2020-05-10,2020-08-30
GOOG,9266000000,7977000000,6383000000,15.34969,9.25421,9.48895,46075000000,41159000000,38297000000,2019-12-31,2020-03-31,2020-06-30
NXPI,197000000,68000000,-145000000,0.39834,-0.07502,-0.76663,2301000000,2021000000,1817000000,2019-12-31,2020-03-29,2020-06-28
TSLA,359000000,283000000,327000000,0.11667,0.01608,0.10048,7384000000,5985000000,6036000000,2019-12-31,2020-03-31,2020-06-30
REGN,675700000,700100000,656400000,6.92913,5.42659,7.61069,2169500000,1828200000,1952000000,2019-12-31,2020-03-31,2020-06-30
FB,8858000000,5893000000,5963000000,2.21089,1.70921,1.79854,21082000000,17737000000,18687000000,2019-12-31,2020-03-31,2020-06-30
TXN,1244000000,1228000000,1609000000,1.24496,1.48867,1.47,3329000000,3239000000,3817000000,2020-03-31,2020-06-30,2020-09-30
TCOM,580000000,-1509000000,-688000000,20.77722,-71.85799,-6.34931,8335000000,4731000000,3159000000,2019-12-31,2020-03-31,2020-06-30
CHKP,249365000,200600000,220900000,1.83919,1.22902,1.37728,543948000,486500000,505600000,2019-12-31,2020-03-31,2020-06-30
CERN,182831000,178376000,146898000,0.49016,0.4713,0.43932,1442232000,1411741000,1330349000,2019-12-28,2020-03-31,2020-06-30
