,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
148,Flowserve Corp,FLS,2020-06-30,28.52,2020-03-31,23.7212,2019-12-31,48.9887
149,Mastercard Inc,MA,2020-06-30,295.700012,2020-03-31,241.559998,2019-12-31,298.589996
150,Cabot Oil & Gas Corp,COG,2020-06-30,17.0929,2020-03-31,17.0129,2019-12-31,17.1189
151,Ralph Lauren Corp,RL,2020-06-27,,2020-03-28,,2019-12-28,
152,Avalonbay Communities Inc,AVB,2020-06-30,154.64,2020-03-31,145.6242,2019-12-31,205.4389
153,CBRE Group Inc,CBRE,2020-06-30,45.22,2020-03-31,37.71,2019-12-31,61.29
154,Biogen Inc,BIIB,2020-09-30,283.679993,2020-06-30,267.55,2020-03-31,316.38
155,Quest Diagnostics Inc,DGX,2020-06-30,113.4209,2020-03-31,79.3099,2019-12-31,104.9501
156,Electronic Arts Inc,EA,2020-06-30,132.05,2020-03-31,100.17,2019-12-31,107.51
157,eBay Inc,EBAY,2020-06-30,52.2954,2020-03-31,29.863,2019-12-31,35.7095
158,Stryker Corp,SYK,2020-06-30,180.19,2020-03-31,165.9391,2019-12-31,208.4896
159,Best Buy Co Inc,BBY,2020-08-01,,2020-05-02,,2020-02-01,
160,Mckesson Corp,MCK,2020-06-30,153.0012,2020-03-31,134.5382,2019-12-31,137.2
161,Carnival Corp,CCL,2020-08-31,16.48,2020-05-31,,2020-02-29,
162,Danaher Corp,DHR,2020-07-03,153.1055,2020-04-03,135.0081,2019-12-31,153.1055
163,Adobe Inc,ADBE,2020-08-28,516.440002,2020-05-29,386.6,2020-02-28,345.12
164,Cincinnati Financial Corp,CINF,2020-06-30,64.03,2020-03-31,74.7191,2019-12-31,103.3357
165,Truist Financial Corp,TFC,2020-03-31,30.066,2019-12-31,54.4527,2019-09-30,51.1802
166,Waste Management Inc,WM,2020-06-30,105.4044,2020-03-31,91.6625,2019-12-31,112.3437
167,Freeport-McMoRan Inc,FCX,2020-06-30,11.57,2020-03-31,6.75,2019-12-31,13.0715
168,Walt Disney Co,DIS,2020-06-27,,2020-03-28,,2019-12-28,
169,TJX Companies Inc,TJX,2020-08-01,,2020-05-02,,2020-02-01,
170,Southwest Airlines Co,LUV,2020-06-30,34.18,2020-03-31,35.61,2019-12-31,53.773
171,Snap-On Inc,SNA,2020-09-26,,2020-06-27,,2020-03-28,
172,Nextera Energy Inc,NEE,2020-06-30,238.9648,2020-03-31,238.101,2019-12-31,238.38
173,General Motors Co,GM,2020-06-30,25.3,2020-03-31,20.78,2019-12-31,36.1589
174,International Flavors & Fragrances Inc,IFF,2020-06-30,122.46,2020-03-31,101.4591,2019-12-31,127.2826
175,Illinois Tool Works Inc,ITW,2020-06-30,174.85,2020-03-31,141.2139,2019-12-31,177.152
176,General Mills Inc,GIS,2020-08-30,,2020-05-31,,2020-02-23,
177,General Electric Co,GE,2020-06-30,6.83,2020-03-31,7.9281,2019-12-31,11.1322
178,Exxon Mobil Corp,XOM,2020-06-30,43.8548,2020-03-31,36.5272,2019-12-31,66.1784
179,Emerson Electric Co,EMR,2020-06-30,61.598,2020-03-31,46.8623,2019-12-31,74.502
180,Ecolab Inc,ECL,2020-06-30,198.95,2020-03-31,155.4711,2019-12-31,192.0429
181,Dupont De Nemours Inc,DD,2020-06-30,52.8429,2020-03-31,33.71,2019-12-31,63.0629
182,Consolidated Edison Inc,ED,2020-06-30,71.1905,2020-03-31,76.3851,2019-12-31,87.8782
