,Symbol,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
55,ADSK,334.10732169954474,622.7348721804511,534.9770468431772,-0.9475197699496765,-0.47807332854061824,1.4591381872213967,2020-01-31,2020-04-30,2020-07-31
56,ADP,112.02460796500921,71.47549789255696,155.6544387755102,0.12146745209156662,0.1495073487897718,0.0715552310420361,2019-12-31,2020-03-31,2020-06-30
57,AZO,81.36904335241965,85.02199798183653,73.51395525173814,-0.19725239148917004,-0.17490425855828848,-0.2100131313329283,2019-11-23,2020-02-15,2020-05-09
58,AVB,171.5221936486072,122.04883400381019,127.40153290092958,0.015255403110719103,0.015393338372467267,0.015715272686126002,2019-12-31,2020-03-31,2020-06-30
59,AVY,67.57574492307693,62.22485052160955,114.89947327478042,0.13496677740863788,0.11436850178967105,0.06565614960046132,2019-12-28,2020-03-28,2020-06-27
60,BKR,-0.6565815866797258,-49.61315422885572,-48.607624309392264,-0.571604523569589,-0.011525890246000344,-0.015627698152305303,2020-03-31,2020-06-30,2020-09-30
61,BLL,134.73329044125,930.5416979130434,244.7651520393617,0.05425567989148864,0.008745247148288974,0.03403330919623461,2019-12-31,2020-03-31,2020-06-30
62,BAC,44.780724270803546,46.27412373316709,58.53432668270592,0.026411389297987236,0.015136759299103873,0.013300105030549209,2019-12-31,2020-03-31,2020-06-30
63,BAX,-1824.8229999999999,125.48778072289156,180.4361524390244,-0.0029180411063181935,0.043122483439407715,0.03026574803149606,2019-12-31,2020-03-31,2020-06-30
64,BDX,268.18897488519855,344.202042295082,238.55720965034968,0.013064805207055939,0.008734666603026109,0.01190575305969528,2019-12-31,2020-03-31,2020-06-30
65,BRK.B,0.020594319901960784,0.012692094001851917,-0.005934611994119648,0.041558415428222195,0.06864316805205384,-0.13324183511666024,2019-09-30,2019-12-31,2020-03-31
66,BBY,29.659992926174496,117.54537886792454,60.42254398148148,0.21414199482609944,0.046627565982404695,0.11434621492853361,2020-02-01,2020-05-02,2020-08-01
67,BIO,20.249543204344825,15.432751956519203,14.0423004897411,0.09617385197053652,0.10899465905322339,0.1314261072630056,2019-12-31,2020-03-31,2020-06-30
68,BIIB,39.14329068687013,27.91569612865573,66.07742103521026,0.11150961592106416,0.13636403830679034,0.06520425709903797,2020-03-31,2020-06-30,2020-09-30
69,BLK,59.70872557085318,84.31067456347147,68.92479558850741,0.03878141115449966,0.02441462454184715,0.03709135349831959,2019-12-31,2020-03-31,2020-06-30
70,BA,-181.85965124752477,-134.39223885350316,-43.69575757575758,0.11721016595102704,0.06497672012415934,0.20365132424787863,2019-12-31,2020-03-31,2020-06-30
71,BKNG,74.002679205807,-79.08902811258942,535.0653959016392,0.19737063879993258,-0.18245888801879404,0.030507626906726683,2019-12-31,2020-03-31,2020-06-30
